Bold Text,Description
casbah,"cap up, whether you are talking about the original (Giacomo Girolamo Casanova de Seingalt, 1725-98), or any latterday womaniser (“he is the Casanova of the Observer”)"
cashflow,rather than kasbah
cash for honours,
cashmere,"noun but cash-for-honours should, like similar phrases, be hyphenated when used adjectivally (the cash-for-honours scandal)"
caster,fabric
casting director,"sugar, wheels on a sofa;  castor  oil;  Caster Semenya  South African runner"
castoff,sometimes mistakenly referred to as a “casting agent”
"Castro, Raúl","one word (noun, adjective);  cast off  two words (verb)"
casual (workers) ,
casualties,
Cat scan,"includes dead and injured, so not a synonym for deaths;  casualty  lc, as in she’s been taken to casualty (though normally called A&E)"
Catalonia,or  CT scan ; it stands for computerised (axial) tomography
catch-22,adjective  Catalan
catchphrase,"lc unless specifically referring to Joseph Heller’s 1961 novel  Catch-22 , which explained the dilemma thus: “Orr would be crazy to fly more missions and sane if hedidn’t, but if he were sane he had to fly them. If he flew them he was crazy and didn’t have to; but if he didn’t want to he was sane and had to”"
catchup TV,
cathedrals,not catch-up or catch up
catherine wheel,"cap up, eg Béziers Cathedral (its full name is Cathédrale Saint-Nazaire-et-Saint-Celse de Béziers)"
Catholic church,
caviar,"but if you mean Roman Catholic, say so"
Cayman Islands,not caviare
CBeebies,"British overseas territory in the western Caribbean Sea comprising the three islands of Grand Cayman, Cayman Brac and Little Cayman.Do not abbreviate to “Caymans”"
"CD, CDs, CD-Rom",
"CE, BCE","a CD is a disc, not a disk"
ceasefire,"some people prefer CE (common era, current era or Christian era) and BCE (before common era, etc) to AD and BC, which, however, remain our style"
ceilidh,
"celibate, celibacy",Scottish;  céilí  Irish
cellphone,"strictly refer to being unmarried (especially for religious reasons), but it is now acceptable to use them to mean abstaining from sexual intercourse"
celsius,mobile phone in British English
Celtic,"without degree symbol and with fahrenheit equivalent in brackets: 23C (73F), -3C (27F), etc; to convert celsius to fahrenheit, multiply by 9, divide by 5, then add 32; to convert fahrenheit to celsius, subtract 32, divide the answer by 9, then multiply by 5 (or use one of the many online calculators)"
cement or concrete?,not Glasgow Celtic
cenotaph,"not interchangeable terms: cement is an ingredient of concrete, which is a mix of aggregates (sand and gravel or crushed stone) and paste (water and portland cement); so a “cement mixer” should always be referred to as a  concrete mixer"
censer,"“empty tomb” in Greek; there are many, all over the world, but the Cenotaph in Whitehall takes a capital C"
census,container in which incense is burned;  censor  prevent publication;  censure  criticise severely
Center Parcs,"In ancient Rome the censors, as well as censoring, also counted people in a census"
Centers for Disease Control and Prevention,
centimetres,
Central African Republic,"abbreviation  cm , not cms"
Central America,no “the”; CAR after first mention
central belt,"comprises Belize, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua, and Panama"
"Central line, central London","the swath across Scotland, containing Glasgow and Edinburgh, where population density is highest. It is in the south, not the centre of the country"
centre on,
Centre Court,"or centre in, but revolve around"
century,Wimbledon
Cephalonia,"sixth century, 21st century, etc; but sixth-century remains, 21st-century boy, etc"
Cern,eschew the variations
Cézanne.,the Geneva-based European laboratory for particle physics
CFC,
chablis,chlorofluorocarbon
cha-cha-cha,wines from Chablis
chair,"the dance, not cha-cha"
"Chakrabarti, Shami",not chairman or chairwoman
champ at the bit,Labour peer and former director of Liberty
champagne,not chomp
Champions League,
Champs Élysées,
"chancellor of the duchy of Lancaster, chancellor of the exchequer",
changeable,
"Channel, the",
"Channel 4, Channel 5",not the English Channel
Channel Islands,
Channel tunnel,"British crown dependencies grouped for administrative purposes into two bailiwicks, each with its own bailiff (chief justice): Jersey (comprising the island of Jersey) and Guernsey (comprising the islands of Guernsey, Alderney, Sark, Herm, Jethou and Brecqhou).The other crown dependency is the Isle of Man.People live in (not on) Jersey, Guernsey and the Isle of Man."
chaos theory,not Chunnel
chapters,"is not a synonym for chaos. It describes the behaviour of dynamic systems that are sensitively dependent on their initial conditions. An example is the weather: under the “butterfly effect”, the flap of a butterfly’s wing in Brazil can in principle result in a tornado in Texas"
chardonnay,"like this: chapter 6, chapter 16, etc, whether of books or the UN charter"
"chargé, chargée d’affaires","lc, like other wines, whether named after a grape (as in this case) or a region"
Charity Commission,
Charli xcx,
Charter of the United Nations,
Chartered Institute of Public Finance and Accountancy,"but UN charter is normally sufficient; chapter 1, etc (not roman numerals)"
chassis,Cipfa or the institute after first mention
"chateau, chateaux",singular and plural
Chatham House rule,no accent
"chatroom, chatshow","often mistakenly called “rules”. There is just one, namely: “When a meeting, or part thereof, is held under the Chatham House rule, participants are free to use the information received, but neither the identity nor the affiliation of the speaker(s), nor that of any other participant, may be revealed.” Chatham House is more formally known as the Royal Institute of International Affairs, based at Chatham House in London"
Chattogram,
"Chávez, Hugo","not Chittagong, for the city in Bangladesh"
"Chavismo, Chavistas","elected president of Venezuela in 1998, and re-elected in 2000, 2006 and 2012; died in 2013"
chavs,
Chechnya,a term best avoided
"check-in, checkout",inhabited by Chechens
"check in, check out","noun, adjective"
check up,verb: so you might check in at the check-in after checking out the checkout desk
cheese,
Chekhov,"normally lc, even if named after a place: brie, camembert, cheddar, cheshire, double gloucester, lancashire, parmesan, stilton, wensleydale, etc"
Chek Lap Kok,
Chelsea flower show,"Hong Kong international airport, designed by Sir Norman Foster, opened in 1998"
Chennai,
chequebook,formerly Madras
"cherrypick, cherrypicker",
cherubim,
Cheshire cat,plural of  cherub
chickenpox,but  cheshire cheese
chicken tikka masala,one word
chief,Britain’s favourite dish until chicken jalfrezi displaced it (according to a 2011 poll); note that there is also an Italian dish called  chicken marsala
chief constable,"(“planning chiefs”, etc): try to use proper titles; officers or officials may be preferable"
chief rabbi,"a job, not a title – John Smith, the chief constable of Greater Manchester; Smith at second mention"
"chief secretary to the Treasury, chief whip","lc, a style consistent with that followed by Haaretz and the Jerusalem Post"
child benefit,
"childcare, childminder","a payment to parents or other people responsible for bringing up a child, with an allowance paid for the first child (£25.60 a week in 2024) and a lower amount (£16.95) for each subsequent child. Please don’t confuse this with the controversial two-child limit, or cap, on wider benefits that restricts universal credit and child tax credit payments to the first two children in most households"
childish or childlike?,
Childline,Laughing when someone breaks wind is childish; laughing when someone is flying a kite is childlike
child sexual abuse,
chilli,"rather than “child sex”; so for example we would refer to a “child sexual abuse ring” rather than a “child sex ring”, but say “child sex offender” rather than “child sexual offender”.Say  child sexual abuse images  or  child abuse images  rather than “child pornography”, “child porn” and especially the tabloid “kiddy porn”. The NSPCC says that such terms give “a misleading and potentially trivialising impression of what is a very serious crime”, and favours the term “child abuse images”.Avoid using the term “historical” to describe sexual abuse crimes from the past. Survivors, particularly adults who were abused as children, feel the term undermines the long-lasting impact of the crimes. Try to date the crimes (year, decade etc) instead, or say they happened in the past eg “Detectives are investigating allegations of child sexual abuse from more than 30 years ago.” Exceptions may be necessary in court cases where specific wording is required. (See also  abuse. )A footnote with details about support services should be added to stories about child sexual abuse from a relevant selection of the following: The  NSPCC  offers support to children on 0800 1111, and adults concerned about a child on 0808 800 5000. The National Association for People Abused in Childhood ( Napac ) offers support for adult survivors on 0808 801 0331."
Chinese names,with two Ls but note Red Hot Chili Peppers
Chinese whispers,"Mainland China: in two parts, eg Mao Zedong, Zhou Enlai, Jiang Zemin. Hong Kong, Taiwan: in two parts with hyphen, eg Tung Chee-hwa, Chiang Kai-shek (exception: when a building, park or the like is named after a person it becomes three parts, eg Chiang Kai Shek Cultural Centre); note also that Korean names are written the same way, eg Kim Il-sung. Singapore, Malaysia: in three parts, eg Lee Kuan Yew.For people with Chinese names elsewhere in the world, follow their preference – but make sure you know which is the surname"
chink,avoid except in direct quotes
Chloé,"Please avoid this word, even in phrases such as “chink in the armour”"
chock-a-block,(fashion) note accent
chocoholic,
chocolatey,not chocaholic
"Chomsky, Noam",
choose,US linguist and political activist
chord,"for some mysterious reason this often appears in the paper as “chose”, its past tense"
Chornobyl,musical; strike a chord
Christ Church,"not Chernobyl, for the site of the nuclear disaster in Ukraine"
"christened, christening",Oxford (not Christ Church College)
"Christian, Christianity",only when referring to a Christian baptism: don’t talk about a boat being christened or a football club christening a new stadium; named is fine
Christian name,but unchristian
Christian Union,"use first name, forename or given name (which in many cultures comes after the family name)"
Christie’s,an evangelical Christian organisation
"Christmas Day, Christmas Eve",the auction house;  Christies  the holding company has no apostrophe
chronic,
Chumbawamba,"means lasting for a long time or constantly recurring, too often misused when acute (short but severe) is meant"
church,"(not Chumbawumba) band whose guitarist, Danbert Nobacon, threw a bucket of iced water over John Prescott, the then deputy prime minister, at the 1998 Brit awards"
the Church in Wales,"lc for the established church, eg “the church is no longer relevant today”; Anglican church, etc, but Church of England (abbreviation: C of E)"
cineaste,not the Church of Wales
cinemagoer,"someone who enjoys films; but note that, in France, a cinéaste is someone who makes them"
cinéma vérité,
"cisgender, cis",
Cites,"A person whose identity aligns with their sex observed at birth. From the Latin  cis , meaning “on the same side”. Used when comparing the trans experience with that of the non-trans population, eg how trans men and cis men navigate the health service. Avoid talking about trans women v women, or trans men v men. As this is a relatively new term, talk to editors if you are planning to use it in furniture"
Citizens Advice,convention on international trade in endangered species of wild fauna and flora
citizens’ assembly,"what the organisation likes to be called, although it still runs bureaux"
Citroën,
city,
city hall,in Britain a town that has been granted a charter by the crown; it usually has a cathedral;  City  capped when used as shorthand for the City of London
City of London Corporation,"lowercase except in the official name of a building, for example City Hall in London, Sheffield City Hall"
"City, University of London",the corporation after first mention
"civil servant, civil service",Added comma after joining the University of London on 1 September 2016
Civvy Street,
CJD,
claim,"Creutzfeldt-Jakob disease, not normally necessary to spell it out; it is acceptable to refer to variant CJD as the human form of BSE, but not “the human form of mad cow disease”"
Claire’s,"“Claims” carries an implication of doubt over what has been said, but is inappropriate when the statement is uncontroversial"
Clapham Junction,no longer Claire’s Accessories
class A drugs,"and Clapham are two distinct, separate areas of south London.Clapham Junction should be called just that: it is not only a railway station but an area in its own right with its own shopping street. It is part of Battersea and comes under Wandsworth council.Clapham is about a mile and a half away, also has its own high street, and is part of Lambeth council"
classic or classical?,
classical music,The latter is best reserved for ancient Greece or Rome or in the phrase “classical music”. The former is used to describe a notable example of a particular era or style.The Goths sacked Rome in classical times; Temple of Love by the Sisters of Mercy is a goth classic
clause IV,"Mozart’s 41st Symphony (or Symphony No 41) in C, K551; Rachmaninov’s Piano Concerto No 2; Schubert’s Sonata in A minor for Piano, D845"
clearcut,"of the Labour constitution, rewritten in 1995; also by extension to “clause IV moment” as in “will the Tories experience their own clause IV moment?”"
clearing,
cliches,part of the Ucas admissions process matching students with unfilled places at universities and colleges
clickbait,"Overused words and phrases to be avoided, some of which merit their own ignominious entry in this guide, include: ahead of, back burner, boost (massive or otherwise), bouquets and brickbats, but hey ... , controversial, count ‘em, drop-dead gorgeous, elephant in the room, famous, fit for purpose, flagship, landmark, key, major, massive, meanwhile, ongoing, politically correct, raft of measures, set to, special, stepchange, to die for, upcoming, upsurge; verbs overused or misused in headlines include: bid, boost, downplay, fuel, hike, insist, probe, quiz, ramp up, signal, spiral, target, unveil.A survey by the Plain English Campaign found that the most irritating phrase in the language was “at the end of the day”, followed by (in order of annoyance): at this moment in time, like (as in, like, this), with all due respect, to be perfectly honest with you, touch base, I hear what you’re saying, going forward, absolutely, and blue sky thinking; other words and phrases that upset people included 24/7, ballpark figure, bottom line, diamond geezer, it’s not rocket science, ongoing, prioritise, pushing the envelope, singing from the same hymn sheet, and thinking outside the box"
cliffhanger,one word
Climate Camp,one word
climate change,disbanded in March 2011; its full name was Camp for Climate Action
Climate Change Committee,"is no longer considered to accurately reflect the seriousness of the overall situation; use  climate emergency  or  climate crisis  instead to describe the broader impact of climate change. However, use c limate breakdown  or  climate change  or  global heating  when describing it specifically in a scientific or geophysical sense eg “Scientists say climate breakdown has led to an increase in the intensity of hurricanes”"
climate science denier ,the UK independent adviser on climate change. Previously known as the Committee on Climate Change
climbdown,"The OED defines a sceptic as “a seeker of the truth; an inquirer who has not yet arrived at definite conclusions”.Most “climate sceptics”, in the face of overwhelming scientific evidence, deny climate change is happening, or is caused by human activity, so denier is more accurate"
clingfilm,noun; climb down verb
clinically extremely vulnerable people,
"Close, Glenn","can abbreviate to CEV people from second mention. Avoid using “extremely vulnerable” or “clinically vulnerable” as these both have different meanings, and avoid referring to “the vulnerable”"
closeup,two Ns (as in bunny boiler)
cloud cuckoo land,as in “I’m ready for my closeup”
CO,
"coalfield, coalmine, coalminer",
Coalite,
coalition government,TM
coarse fishing,Con-Lib if you are being polite;  Lib-Con  if you are a sceptic;  Con-Dem  if you want to be rude
coastguards,we have been known to spell it “course”
Cobra,"HM Coastguard (UK), but US Coast Guard"
"Coca-Cola, Coke","government crisis response committee, so-called because it originally met in Cabinet Office Briefing Room A. The US equivalent is the White House Situation Room"
cockney,TM; the generic term is cola; coke for smokeless fuel and cocaine
coconut,
co-defendant,
coexist,
cohabitant,
cold war,not cohabitee
Cold War Steve,
Coliseum,
collectible,London theatre;  Colosseum  Roman amphitheatre
collective nouns,
collector’s item,"Nouns such as committee, family, government, jury, squad and team take a singular verb or pronoun when thought of as a single unit, but a plural verb or pronoun when thought of as a collection of individuals:The committee gave its unanimous approval to the plans;The committee enjoyed biscuits with their tea.The family can trace its history back to the middle ages;The family were sitting down, scratching their heads.The squad is looking stronger than for several seasons;The squad are all very confident that they will win promotion this season"
College of Arms,
colleges,
Colombia,"take initial caps, eg West Kent College; but not when college forms part of the name of a school, eg Bash Street sixth-form college, Eton college"
colon,South American country that we frequently misspell as “Columbia”
colonel,"Use between two sentences, or parts of sentences, where the first introduces a proposition that is resolved by the second, eg Fowler put it like this: to deliver the goods invoiced in the preceding words.A colon, rather than a comma, should be used to introduce a quotation: “He was an expert on punctuation,” or to precede a list – “He was an expert on the following: the colon, the comma and the full stop.”Use before quotes when the quote could stand on its own as a sentence. He said: “You’ll never take me alive.”When a colon is used in a headline, the next word is usually lowercase, eg Osborne: there is no plan B. One exception to this rule is in web furniture where the colon comes after the title of a series, for example as in the headline “Digested week: Words mattered to Stephen Sondheim”. Similarly, in a standfirst after a descriptive tag such as “Exclusive” or “Analysis” the next word should take an initial cap. Another exception on the web is when the colon introduces a complete sentence in quotation marks, such as Maro Itoje: ‘Whenever England take the field we should win’This 2010 example from the Guardian is an awful (but by no means isolated) example of the tendency to use a semicolon where only a colon will do (all the more unfortunate for distracting the reader from a funny sentence): “Here’s a task for the new coalition government; set up a Drumming Taskforce today, and appoint a Snare Tsar.”We are in danger of losing the distinction between colon and semicolon; many writers seem to think they are interchangeable but to make it clear: they are not."
Columbia,
comedian,"Colonel Napoleon Bogey, subsequently Bogey (Col Bogey in leading articles)"
commando,"as in District of Columbia (Washington DC) and Columbia University (New York), Columbus Day (12 October, marking the date Christopher Columbus landed in the West Indies in 1492); Columbus is also the state capital of Ohio"
commas,male and female; do not use comedienne
commented,plural commandos
commingle,"Use a comma to help the reader by inserting breathing space into a sentence: “When the Dutch reflect on their performance in the World Cup final, they will not find it hard to see why their aggressive tactics lost them many friends in 2010.”“The editor, Katharine Viner, is a woman of great vision” – commas if there is only one editor.“The subeditor Amelia Hodsdon is all style and no substance” – no commas if there is more than one subeditor.A misplaced comma can sabotage a sentence, as in this example from the paper: “Neocon economists often claim a large, black economy turbo-powers growth ...” (the writer was talking about a big black economy, not a big and black one, which is not the same at all).A comma is also crucial to avoid ambiguity in examples such as this: “Part of the report will heavily criticise a so-called power culture among the Dublin bishops who have been accused of not taking the allegations seriously.” We should have inserted a comma after “bishops” to make clear that all the Dublin bishops have been accused; as published, the sentence implies that only some of the bishops have."
common agricultural policy,
"Commons, House of Commons",“said” is normally adequate
Commons committees,"to mix or blend; the spelling “co-mingle”, used by Shakespeare in Hamlet, is obsolete"
common sense,lc but the abbreviation is  CAP
Commonwealth,"but  the house , not the House"
commonwealth,"lc, home affairs select committee, public accounts committee, etc"
Commonwealth heads of government meeting (Chogm),noun;  commonsense  adjective: “William Hague’s ‘commonsense revolution’ showed little common sense”
Commonwealth War Graves Commission,"for the Commonwealth of Nations (formerly the British Commonwealth), which has 54 members, mostly former territories of the British empire"
communique,for the commonwealth of Australia
"communism, communist",
community,
community charge,no accent
company names,"lc, except in name of party, eg Communist party of Great Britain (Marxist-Leninist)"
compare to or with?,the subediting community is encouraged to weed out examples of this shockingly overused word
compass points,"what no one, apart from a handful of Conservative ministers, called the poll tax"
Competition and Markets Authority,"A difficult area, as so many companies have adopted unconventional typography and other devices that, in some cases, turn their names into logos. In general, we use the names that companies use themselves: c2c, Capgemini, easyJet, eBay, ebookers, iSoft Group, etc. Some of these look odd, particularly when used as the first word in a headline, although some are becoming more familiar with time.Exceptions include Adidas (not adidas), ABN Amro (not ABN AMRO), BAE Systems (not BAE SYSTEMS), Toys R Us (do not attempt to turn the R backwards), Yahoo (no exclamation mark).Company names are always singular"
"complement, compliment, complimentary","The former means liken to, the latter means make a comparison: so unless you are specifically likening someone or something to someone or something else, use compare with.A former lord chancellor compared himself to Cardinal Wolsey because he believed he was like Wolsey; I might compare him with Wolsey to assess their relative merits.As so often, we are indebted to Prince for the grammatically immaculate Nothing Compares 2U"
complacent,"lc for regions: eg the north, the south of England, the south-west, north-east Scotland, south Wales.The same applies to geopolitical areas: the west, western Europe, south-east Asia, etc.Cap up, however, when part of the name of a county (eg West Sussex, East Riding of Yorkshire), local authority area (North Somerset, South Gloucestershire), or province (East Java, North Sulawesi, etc).Note the following: East End, West End (London), Middle East, Central America, North America, South America, Latin America"
complainers,"formerly the Competition Commission (and yes, there is still only one)"
complaisant,to complement is to make complete: “the two strikers complemented each other”; to compliment is to praise; a complimentary copy is free
complicit,self-satisfied
"comprise, consist, compose or constitute?","the Scottish legal term for complainants. Always include a brief explanation forreaders outside Scotland eg “... the complainers, the Scottish legal term for complainants, allege that ...”"
computer game,obliging
concentration/death camps in Poland,"You can be complicit in a crime, for example, if you know about it but fail to report it"
Concord,"Tricky, but to get these right, just remember that comprise or consist of mean “made up of” while compose and constitute mean “make up”.So you might say a band comprises guitar, bass, drums and keyboards or that it consists of guitar, bass, drums and keyboards. You can also say the band is composed of those instruments. Alternatively, you could say guitar, bass, drums and keyboards compose or constitute the band.The one thing to avoid, unless you want people who care about such things to give you a look composed of, consisting of and comprising mingled pity and contempt, is “comprised of”"
confidant,video game is preferable
congestion charge,should be referred to as “Nazi concentration/death camps in German-occupied Poland” (see entry on “Polish death camps”)
the Republic of the Congo,town in Massachusetts;  Concorde  plane
Congregational,male;  confidante  female
Congress,
conjoined twins,"also known as Congo-Brazzaville, it was the colony of French Congo until independence in 1960. Not to be confused with its neighbour, the Democratic Republic of the Congo (DRC). Both countries border the Congo river"
conman,"uc when referring to the Congregational Union of England and Wales, formed in 1832, which joined the Presbyterian Church of England in 1972 to form the United Reformed Church (please, not “Reform”)"
connection,"comprises the House of Representatives (the House) and Senate; but lc congressman, congresswoman, congressional"
conservationist,not Siamese twins
"Conservative central office, Conservative party",
conservator,not connexion
consortium,"A person who works to preserve and manage the natural environment, as opposed to a conservator, who works to repair and preserve cultural objects"
constitution,
Consuelo,"A person who works to repair and preserve cultural objects, as opposed to a conservationist, who works to preserve and manage the natural environment"
consult,plural  consortiums  not consortia
consumer price index (Australia),lc as in the US constitution
consumer prices index (UK),"not Consuela; from a reader: “I really have had enough of show-off ignoramuses messing up my name. Consuelo is a Spanish abstract noun, masculine, invariable. Pilar and Mercedes are also Spanish female names derived, like Consuelo, from titles of the Virgin Mary”"
Consumers’ Association,not consult with
contagious,
container ship,"forms the basis for the government’s inflation target and other inflation-linked tools; CPI after first mention. But note,  consumer price inflation  (no ‘s’ on price)."
contemporary,"now known as Which?, after its magazine"
contemptible,"generally refers to a disease that is spread via contact. If you’re not sure how a disease is spread, or if it is spread via several means, use infectious or transmissible instead"
contemptuous,"not a synonym for cargo ship. Container ships are usually easy to spot because of the containers above deck. Other kinds of cargo ship include bulk carriers, which transport goods such as grain, iron ore and coal in their holds"
"continent, the","of the same period, though often wrongly used to mean modern; a performance of Shakespeare in contemporary dress would involve Elizabethan costume, not 21st- century clothes"
continual or continuous?,deserving contempt
contractions,displaying contempt
controversial,but  mainland Europe  is preferable
convener,the former refers to things that recur repeatedly but not constantly; the latter indicates an uninterrupted sequence: “My car continually breaks down because the radiator leaks continuously”
conversion practices,"Do not overuse contractions such as aren’t, can’t, couldn’t, hasn’t, don’t, I’m, it’s, there’s and what’s (even the horrific “there’ve” has appeared); while they might make a piece more colloquial or easier to read, they can be an irritant and a distraction, and make a serious article sound frivolous. They also look horrible"
conversions,"overused, typically to show that the writer disapproves of something (“the government’s controversial free schools scheme”); like “famous”, it can normally be safely removed from copy to allow readers to make up their own minds"
convertible,not convenor
convince or persuade?,preferable to the term conversion “therapy” when referring to organisations’ efforts to try to change a person’s sexuality or gender identity
Co-operative Bank (,"We give metric measures and convert on first mention only to imperial in brackets (exceptions: miles and pints); if a rough figure is given in metric, do not convert it into an exact figure in imperial, and vice versa, eg if someone says the towns are about 50km apart, convert to 30 miles, not “31.07 miles”; the same goes for rough amounts of currencies, though don’t round up £3.6bn to £4bn"
Co-op,not -able
co-operative movement,"Having convinced someone of the facts, you might persuade them to do something,although you can be persuaded to do something without necessarily being convinced that it’s the right thing"
co-operative,party
