Bold Text,Description
"one in six, one in 10","Phrases of this sort should be treated as plural. There are good grammatical and logical reasons for this. Compare “more than one in six Japanese is 65 or older … “ with “more than one in six Japanese are 65 or older … “Grammatically, we are talking not about the noun “one” but the noun phrase “one in six”, signifying a group of people. Logically, the phrase represents a proportion – just like “17%” or “one-sixth”, both of which take plural verbs. “Two out of every seven” and “three out of 10” take plurals too, functioning identically.“One in six is … “ is also unnecessarily (and possibly misleadingly) specific, implying that of any six people from the group you take, exactly one will be as described. “One in six” means one-sixth on average over the whole group, and a plural verb better reflects this. We wouldn’t say “Only 1% of Republican voters is able to point to Iraq on a map” just because there’s a “one” in there"
one-nation politics,"but  one nation Tory  for individual Conservatives, and  One Nation group  for the caucus of Conservative MPs formed in April 2019"
one-stop shop,
Onetel,"UK telecom company, not One.Tel, which is Australian"
ongoing,"Bureaucrats and business people love this jargon word and associated phrases such as “ongoing situation” or “on an ongoing basis”. Even some journalists are oddly fond of it, although the story has yet to be written that cannot be improved by removing it. “The case continues” is preferable to “the trial is ongoing”"
online,
only,"can be ambiguous if not placed next to the word or phrase modified: “I have only one ambition” is clearer than “I only have one ambition”; however, be sensible: do not change the song title to I Have Eyes for Only You.Say “the only” or “one of the few” rather than “one of the only”, which has found its way into the paper"
on side or onside?,The referee kept the home crowd on side by ruling the goal onside
on stage,"two words unless used adjectivally, for example in the phrase “her onstage persona”"
on to not onto,"Kingsley Amis, perhaps slightly overstating the case for this, argued: “I have found by experience that no one persistently using onto writes anything much worth reading”"
00 gauge,
"oohing and aahing, oohs and aahs","(model railways) – the number 0, not the letter O, though pronounced “double-O” (as in Hornby Dublo)"
"Op 58, No 2",
Opec,for classical music
Open Society Foundations,"Organization   of the Petroleum Exporting Countries, but not necessary to spell out"
opencast mine,plural
openly gay,
ophthalmic,"avoid, just say someone is gay. Or when the fact that someone is uncloseted is the story, out gay person is a good alternative, as in, for example, the first out gay royal"
opossum,
"opposition, the",
or,
orangutan,"need not be used when explaining or amplifying – rather than “the NUT, or National Union of Teachers” say “the NUT (National Union of Teachers)“ or, even better, “the National Union of Teachers” at first mention and then just “the NUT” or “the union”"
orca,one word
orchestras,"also known as the killer whale, but orca is preferable"
ordinance,"take initial capitals, eg London Symphony Orchestra (LSO after first mention), Berlin Philharmonic, etc"
Ordnance Survey,decree
"oriented, disoriented",Britain’s national mapping agency (ordnance because such work was originally undertaken by the army)
Orkney,"not orientated, disorientated"
Orthodox,not “the Orkney Isles” or “the Orkneys”
Ottakar’s bookshop,"capped up in the names of religious denominations eg Orthodox Judaism, ultra- Orthodox Judaism, Russian Orthodox church"
"O2, the",taken over by Waterstones
Ötzi,"(cap O, not the number 0) is the name of the former Millennium Dome"
Ouija,"the Iceman Europe’s oldest natural human mummy (dated to about 3300BC), found in the Alps in 1991"
outback,"TM; the generic name most commonly used, though not very satisfactory, is “talking board”"
"outed, outing",(Australia)
Outer Hebrides,"take care with these terms: if we say, for example, that a paedophile was outed, we are equating that with a gay person being outed; use exposed or revealed instead"
"outgrow, outgun, outmanoeuvre","use when referring to the islands in a geographical context; if referring to them in a political capacity, use Western Isles (see Western Isles entry)."
outpatient,
outre,"St Thomas’ hospital in south London boasts the following styles, all on signs within a few yards of each other: Out Patients, Out-Patients, Outpatients, and outpatients. Across London, Barts adds Out-patients and OUTPATIENTS to the eclectic mix. In a further development, the NHS has all but eradicated the apostrophe"
outside,no accent
outward bound,not “outside of”
over,outdoor adventure or adventure training are safer terms: we have been sued twice for reporting that people have died on “outward bound” courses that were nothing to do with the Outward Bound Trust
"overestimate, overstate","is already an adverb, so “overly” is unnecessary. The same applies to “regardlessly” (regardless of how you feel about it), last, not “lastly”, and least, not “leastly”"
"overreact, override, overrule",are frequently confused with underestimate or understate
oxen,and most other words with the prefix “over” do not need a hyphen
oxi,rather than “oxes” is the plural of ox
Oxford comma,"not strictly a transliteration of the Greek for no, but this is what we use"
oxymoron,"a comma before the final “and” in lists: straightforward ones (he ate ham, eggs and chips) do not need one, but sometimes it can help the reader (he ate cereal, kippers, bacon, eggs, toast and marmalade, and tea).Sometimes it is essential: compare I dedicate this book to my parents, Martin Amis, and JK Rowling with I dedicate this book to my parents, Martin Amis and JK Rowling"
"Özil, Mesut","does not just vaguely mean self-contradictory; an oxymoron is a figure of speech in which apparently contradictory terms are used in conjunction, such as bittersweet, compassionate conservatism, “darkness visible” (Paradise Lost), “the living dead” (The Waste Land); one of Margaret Atwood’s characters thought “interesting Canadian” was an oxymoron"
,
,
