Bold Text,Description
foreign names,"The French (or French origin) de or le and the Dutch van are normally lowercase when the name is full out: eg Charles de Gaulle, Graeme le Saux, Giovanni van Bronckhorst; but De Gaulle, Le Saux, Van Bronckhorst when written without forenames. A notable exception in France is the National Rally leader, Marine Le Pen (uppercase L).In Belgium, on the other hand, the Van is often uppercase even when the name is full out, as, for example, in the case of the former president of the European Council Herman Van Rompuy.The Italian De or Di is normally uppercase, eg Antonio Di Natale.As ever, we seek to follow the person in question’s own preference in this regard, when we are aware of it"
Foreign Office,"abbreviated to FCDO not FO, as its official name is Foreign, Commonwealth and Development Office"
foreign placenames,"Style for foreign placenames evolves with common usage. Leghorn has become Livorno, and maybe one day München will supplant Munich, but not yet. Remember that many names have become part of the English language: Geneva is the English name for the city that Switzerland’s French speakers refer to as Genève and its German speakers call Genf.Accordingly, we opt for locally used names, with these main exceptions (the list is not exhaustive, apply common sense): Archangel, Basel, Berne, Brittany, Catalonia, Cologne, Dunkirk, Florence, Fribourg, Genoa, Gothenburg, Hanover, Lombardy, Milan, Munich, Naples, Normandy, Nuremberg, Padua, Piedmont, Rome, Sardinia, Seville, Sicily, Syracuse, Turin, Tuscany, Venice, Zurich.The late Muammar Gaddafi renamed Libya “The Great Socialist People’s Libyan Arab Jamahiriyya”, but it never really caught on."
foreign political parties,"In general, we use the English translation of a political party if (a) that is how it is most commonly known in the English-speaking world, or (b) the party’s name in its own language is not easy for readers to translate themselves. Otherwise, we use the name of the party in its own language. All initialisms are in the party’s own language."
Germany,"Christian Democratic Union, or Christian Democrats (CDU); (Christlich Demokratische Union Deutschlands, in German) Social Democratic party, or Social Democrats (SPD); (Sozialdemokratische Partei Deutschlands, in German) Alternative für Deutschland (AfD) Stand up (Aufstehen)"
France,"Renaissance (formerly La République En Marche) the National Rally (RN) (Rassemblement National, in French; formerly Front National) France Unbowed (La France Insoumise, in French) Les Républicains Reconquêtethe Nupes (not a party, but a grouping of parties; translate as the New Popular Ecological and Social Union)"
Spain,"Citizens party (Ciudadanos, in Spanish) People’s party (Partido Popular, in Spanish, PP) Podemos (We Can, in English) Spanish Socialist Workers’ party (PSOE) Vox"
Italy,"Brothers of Italy (Fratelli d’Italia, in Italian) Five Star Movement (M5S); (Movimento 5 Stelle, in Italian) Lega (League, in English)"
Greece,"Syriza (Greek acronym for Coalition of the Radical Left) New Democracy Golden Dawn To Potami (The River, in English)"
Netherlands,"Freedom party (PVV) (Partij voor de Vrijheid in Dutch, literally translated as Party for Freedom) People’s Party for Freedom and Democracy (VVD) (Volkspartij voor Vrijheid en Democratie in Dutch)"
Hungary,"Fidesz (its full name in Hungarian is Fidesz – Magyar Polgári Szövetség, which can be translated as Fidesz – Hungarian Civic Alliance; Fidesz is an acronym formed from the Hungarian for Alliance of Young Democrats)"
Poland,Law and Justice (PiS) (Prawo i Sprawiedliwość in Polish) Civic Platform (PO) (Platforma Obywatelska in Polish); part of the Civic Coalition
foreign secretary,
foreign words and phrases,"Italicise, with roman translation in brackets, if it really is a foreign word or phrase and not an anglicised one, in which case it is roman with no accents (exceptions: exposé, lamé, paté, résumé, roué). Remember Orwell: do not use a foreign word where a suitable English equivalent exists"
forensic,is not a synonym for scientific. It derives from forum (Latin for court) and that is what it means: all evidence in court is forensic. A forensic scientist is one whose work is done for legal purposes (so a page 1 headline in which we referred to “newforensic evidence” should have said “new scientific evidence”). Forensic medicine means medical jurisprudence
"foresee, foreseeable",
forests,"take initial capital, eg Black Forest, Epping Forest, New Forest"
forest fires,"in the UK; elsewhere, use the term that is most common, eg bushfires in Australia, wildfires in the US. If you’re not sure about other countries, use wildfires as the default"
forever,continually: he is forever changing his mind
for ever,for always: I will love you for ever
for free,avoid: we said police recruits might be forced to work “for free”; it would have been more elegant to say “for nothing”
forgo,"go without; past tense forwent, past participle forgone"
forego,"go before; forego, past tense forewent, past participle foregone (as in “foregone conclusion”)"
forklift truck,
formally,"in a formal manner;  formerly  in the past: “He formerly dressed formally, but now he’s a slob.”Everyone knows this, but they are frequently mixed up"
former Soviet republic,"this term can be used for Armenia, Azerbaijan, Belarus, Estonia, Georgia, Kazakhstan, Kyrgyzstan, Latvia, Lithuania, Moldova, Tajikistan, Turkmenistan, Ukraine and Uzbekistan, where relevant to the story, but not just as a convenient shorthand for describing independent countries that have histories and identities outside of the USSR"
Formica,TM
formula,"plural  formulas , but  formulae  in a scientific context"
Formula One,in copy;  F1  is fine in headlines and standfirsts
fortuitous,"by chance, not by good fortune. The same football commentators who ruled that deflections must always be described as “wicked” also decided that fortunate or lucky does not sound as impressive as fortuitous.If we use the word correctly, it is entirely fortuitous"
fosbury flop,
fossil gas,a newer name for what the energy industry prefers to call natural gas
founder or flounder?,A business will typically founder (think of a sinking ship) because its managers flounder (think of a drowning man)
fount,(not font) of knowledge
Fourth of July,
foxhunting,
FPA,"Family Planning Association at first mention, thereafter the FPA, although the organisation has decided to style itself “fpa” (lc, no definite article) in its literature and on its website"
FRA,fellow of the Royal Academy;  FRS  fellow of the Royal Society
fractions,"two-thirds, five-eighths, etc, but two and a half, three and three-quarters, etc.However, use 1⁄3, 3⁄4 in tables, recipes, etc.Do not mix fractions and percentages in the same story"
"français, Français","le français  is the French language,  le Français  the French man"
Frankenstein,"the monster’s creator, not the monster"
Frankenstein food,has become a cliche to describe GM food; do not use
Frappuccino,TM
fraud squad,
"free climbing, free climber","climbing using ropes and protection, but only to protect against injury in falls and not to assist progress - compare with free solo climbing"
freedom of information,But Freedom of Information Act. FoI when abbreviated
freefall,
"Freemasonry, the Freemasons, Freemason, Mason","for the semi-secret society and its members; but  masonic,  adjective referring to Freemasonry and its practices"
freeport,
free rein,as in giving free rein to one’s ideas – the expression comes from holding a horse’s reins loosely
free schools,"Even if you disapprove of them, there is no need to use quotation marks or call them “so-called free schools” in news stories.Free schools are outside local authority oversight, not “local authority control”. No schools are directly under local authority control, although local authorities oversee admissions and standards at some schools"
"free solo climbing, free solo climber","climbing without ropes or protection. Can be abbreviated to free soloing, free soloist - compare with free climbing"
"french fries, french horn, french kiss, french letter, french polish, french toast,","french window, but French bulldog"
French Guiana,"an overseas département of France on the Caribbean coast of South America; do not confuse with Equatorial Guinea, Guinea, or Guinea-Bissau, which are all in Africa, or Guyana, which is also in South America"
French Revolution,
fresco,plural  frescoes
freshers’ week,
"Freud, Lucian","British artist, not Lucien"
Freudian slip,
fricassee,no accent
friendlily,"curious adverb defined by the OED as “in a friendly manner, like a friend”"
friendly fire,no quotation marks necessary
Friends of the Earth,abbreviated to FoE after first mention
Friends Provident,no apostrophe
Frisbee,"TM; if in doubt, call it a flying disc"
"frontbench, frontline, frontman, frontrunner",
fRoots,folk and roots music magazine. Do not delete the f
"frostbite, frostbitten",
FTSE 100,
fuchsia,a word frequently misspelt (in the Guardian and elsewhere) as “fuschia”; it may help to note that it is named after a botanist called Fuchs
fuck,"not “a good, honest old-fashioned Anglo-Saxon word” (as it is often described) because there is no such thing as an Anglo-Saxon word (they spoke Old English) and, more important, its first recorded use dates from 1278. Use only when relevant, typically when quoting someone; can be spelt out in full, although “the F-word” offers an alternative"
fuel,
Fulbright scholarship,"overused as a verb, although handy in headlines"
"fulfil, fulfilling, fulfilment",not Fullbright
“full-time mother”,
fully vaccinated,"(or for that matter “full-time father”) should be avoided, as it implies that parentswho go to work aren’t full-time parents"
fulsome,"Please take care to explain what fully vaccinated means in relation to Covid-19 immunisation (eg two jabs and a booster or third dose for an eligible cohort of adults) if it is used, which would only be if it’s pertinent to the story. Otherwise use vaccinated for people who have had as much protection as they are eligible for and unvaccinated or partially vaccinated for those who haven’t"
"fundraiser, fundraising","Not a fancy word for full, it indicates cloying, lavish excess, as in this eloquent description in the London Review of Books, by Rosemary Hill, of books about Queen Elizabeth the Queen Mother: “His biography was pious to a degree and, like his equally fulsome edition of her letters, much too long.”This sorely misused word is most often seen in the phrase “fulsome praise”, which should not be used in a complimentary sense"
fungus,
,plural fungi
,
