Bold Text,Description
Air Force One,US president’s jet
air hostess,"cabin attendant or flight attendant, please"
airports,"Heathrow, Gatwick, Stansted (normally no need to say airport); Liverpool John Lennon airport, Schiphol airport, etc"
air vice-marshal,
AKA,also known as
akimbo,See  arms akimbo
al-,(note lc and hyphen) before an Arabic name means “the” so try to avoid writing “the al- ...” where possible See  Arabic names
al-Aqsa Martyrs Brigade,
al-Aqsa mosque,"not the Aqsa mosque, or the al-Aqsa mosque. Not to be confused in pictures with the nearby Dome of the Rock. The mosque’s dome is silver-grey, whereas the Dome of the Rock, an Islamic shrine, has a large golden dome. Both buildings are located in occupied East Jerusalem, at the holy site known to Muslims as al-Haram al-Sharif, and to Jews as the Temple Mount, also sometimes referred to as al-Aqsa mosque compound"
Alastair or Alistair?,Alastair Campbell (spin doctor) Alastair Cook (cricketer) Alastair Hetherington (late Guardian editor) Alastair Stewart (broadcaster)Alistair Cooke (late BBC and Guardian journalist) Alistair Darling (politician) Alistair MacLean (late novelist) Alistair McGowan (impressionist)Aleister Crowley (late satanist)
albinism,"Avoid referring to people with albinism as albinos, instead say “a man with albinism” or “Jane Doe, who has albinism”"
"Albright, Madeleine",former US secretary of state
"Alcott, Louisa May",(1832-88) American author of Little Women
"Aléshé, Babátúndé",standup comedian
A-levels,
"Al Fayed, Mohamed",former owner of Harrods and Fulham FC (Fayed after first mention); the son who died in Paris in 1997 was Dodi Fayed
"Alfonsín, Raúl",(1927-2009) president of Argentina from 1983-89
alfresco,
algae,plural of alga
al-Hawl,not al-Hol for the camp in northern Syria
"al-Houthi, Abdulmalik",leader of the Houthi movement in Yemen. Call him Houthi at second mention
"Ali, Muhammad",was Cassius Clay until 1964
alibi,being somewhere else; not synonymous with excuse
alice band,"as worn by Alice in Lewis Carroll’s Through the Looking-Glass, and What Alice Found There (1871) and more recently David Beckham"
Alice books,"Alice’s Adventures in Wonderland, by Lewis Carroll (Charles Lutwidge Dodgson), was published in 1865; its sequel, which followed six years later, is called Through the Looking-Glass, and What Alice Found There. Note that they are not called “Alice in Wonderland” and “Alice Through the Looking- Glass”"
A-list,"etc, but to refer to “C-list celebrities” and its variations has become tedious. An edition of G2 referred to “D-list celebrities” and, less than hilariously, in a separate piece about the same reality TV show, “Z-list celebrities”"
Al Jazeera,
alkyl nitrite,not nitrate; commonly known as poppers
Allah,Arabic for “the God”. Both words refer to the same concept: there is no major difference between God in the Old Testament and Allah in Islam. Therefore it makes sense to talk about “God” in an Islamic context and to use “Allah” in quotations or for literary effect
Allahu Akbar,“God is greatest”
"Allawi, Ayad",Iraqi politician
"Allende, Isabel",Chilean author; her father was a cousin of Salvador Allende
"Allende, Salvador","Chilean president, overthrown and killed in 1973"
allies,"second world war allies, the allied invasion, etc"
all mouth and trousers,not “all mouth and no trousers”
all right,"has traditionally been regarded as right, and alright as not all right (although the 1965 Who song, much loved by generations of headline writers and still widely quoted today, was The Kids are Alright).Kingsley Amis in The King’s English said alright was “gross, crass, coarse and to be avoided” but admitted this was “a rule without a reason”.Note, however, the difference between “she got the answers all right” and “she got the answers, alright!”"
All Souls College,"Oxford, no apostrophe"
all together,as one united body: “We are all in it together”
altogether,"completely, totally: “That’s an altogether different matter”"
“alt-right”,"use once and in quotes at first mention; use far right at any subsequent mentions. Note: far right (noun) and far-right (adjective). More specific descriptions can be used where relevant when mentioning individuals associated with the movement, but such descriptions should be evidence-based."
"al-Maliki, Nouri",(not Nuri) became prime minister of Iraq in 2006
Almo,arm’s-length management organisation
"Almodóvar, Pedro",Spanish film-maker
alpha male,
al-Qaida,it means “the base”
al-Quds,"force of the Iranian Revolutionary Guard Corps; not Quds, Qods"
"al-Sadr, Moqtada","creator of the Mahdi army, or as the magazine Red Pepper described it: “Moqtada al- Sadr’s not-so-barmy army”"
alsatian,dog
Alsatian,person from Alsace
al-Shabaab,"Islamist insurgency group in Somalia; it means “the youth”. Singular, not plural"
also,often redundant
alter ego,"not “altar ego”, as we have been known to spell it"
alternative,"normally a choice between two courses of action; if there are more than two, option or choice may be preferred; beware the trend to use “alternate” instead of alternative: in a piece about French politics we wrote “in this juddering alternate reality …”"
"alumna (female), alumnus (male)","plural alumni, or alumnae for all-female institutions; in the UK graduate is preferable"
"al-Zaidi, Muntazer","Iraqi journalist who served a jail sentence for throwing his shoes at the then US president, George Bush"
Alzheimer’s disease,
Amazon,normally no need for com or co.uk
Amazon Prime,
Amazon Prime Video,"for the TV package, although these days it prefers to call itself simply Prime Video"
ambassador,"lc, eg the British ambassador to Washington; “ambassador, you are spoiling us” has become a headline cliche"
ambience,not ambiance
ambiguity,"a common problem in headlines when the subject is omitted from the past tense of a verb, as in this example from the paper:Westworld extras allegedly asked to participate in ‘graphic sexual situations’Did they allegedly ask, or were they allegedly asked? A simple “were” before “asked” would have fixed this.   Similarly:Labour warned of financial crash (did someone warn Labour of an impending crash, or did Labour warn someone else?)Tories paid millions to avoid tax Here not only does the reader have to ask whether the Tories paid millions or were paid millions, but also whether they paid millions of pounds or millions of people, and whether the Tories’ aim was to avoid tax or to enable the millions to avoid tax. This is very poor editing"
ambulance services,"These are NHS trusts, so lc for everything that is generic, eg London ambulance service, East of England ambulance service, South East Coast ambulance service"
amendments,"to the US constitution like this: fifth amendment, 18th amendment, etc"
"America, Americans","the country is generally the United States or US, although its citizens are Americans; we should remember that America includes all of North, Central and South America"
“America first”,A phrase  denounced by the Anti-Defamation League  for its links to 1940s Nazi sympathisers
American Civil Liberties Union,not American Civil Rights Union
American English,"Follow US spellings for proper nouns, eg Centers for Disease Control and Prevention, Department of Defense, Labor Day, One World Trade Center, Ann Arbor, Pearl Harbor, World Health Organization"
American universities,"Take care: “University of X” is not the same as “X University”; most states have two large public universities, eg University of Kentucky and Kentucky State University, University of Illinois and Illinois State University, etc.Do not call Johns Hopkins University “John Hopkins” or Stanford University “Stamford”"
America’s Cup,"sailing trophy named after the schooner America, its first winner"
Amhrán na bhFiann,Irish national anthem
Amicus,"trade union formed by a merger between the AEEU and MSF, now part of Unite after a further merger with the TGWU"
amid,"not amidst.“James warned, however, that the second half of the year was likely to prove more challenging overall amid a weak consumer backdrop.”Things fall  against  a backdrop, not amid one. If something is amid the backdrop, it’s part of it,  and thus completely unremarkable . Some cliches make the news sound tired; this one makes the news sound as if it’s not news at all"
amok,not amuck
among,not amongst
among or between?,"Whatever you may have been told, between is not limited to two parties. It is appropriate when the relationship is essentially reciprocal: fighting between the many peoples of Yugoslavia, treaties between European countries, etc; among belongs to distributive relationships: shared among, etc"
amount or number?,"amount refers to a quantity, number to something that can be counted, eg an enormous amount of energy was exerted by a small number of people"
ampersand,"Use in company names when the company does: Johnson & Johnson, Marks & Spencer, P&O, etc, but use “and” in the names of government departments and agencies: Department of Work and Pensions, Advanced Research and Invention Agency etc"
anaesthetic,
analysis,plural analyses
anarchism,"a political philosophy that advocates stateless societies, holding the state to be undesirable, unnecessary and harmful.The term “anarchist” is bandied about carelessly, often used by politicians and the media to denigrate opponents of the status quo, and should be used with care; “self- styled anarchist” should be avoided altogether"
ancestors,precede descendants; we frequently manage to get them the wrong way round
and/or,This is horrible. Make your mind up and say either “and” or “or” – whichever is more appropriate. The same applies to the phrase “if and when”
Andalucía,
Anderson shelter,not Andersen
… And You Will Know Us By The Trail Of Dead,
Angkor Wat,"Angkor Wat is only one of the 100 or so temples of Angkor, albeit the best known(“wat” means temple)"
Anglesey,"Always also include its Welsh name, Ynys Môn, possibly in brackets at first mention. Anglesey is the name of the island; Isle of Anglesey is the name of its county, which also includes nearby Holy Island, and Ynys Môn is the name of the UK parliament and Senedd constituency that covers the same area. Ynys Môn is the Welsh name for both the island and the county"
"anglicise, anglophile, anglophone",
animals,"pronoun “it” unless gender establishedAnimal breeds are usually lowercase, eg gloucestershire old spot, friesian, belted galloway, shetland pony, but note English longhorn, Welsh cob, British saddleback"
annex,verb; annexe noun; I am going to annex the annexe for the afternoon
anniversaries,"first anniversary, 10th anniversary etc; not one-year anniversary, 10-year anniversary. There is no such thing as a six-month anniversary"
anorexic,"is not a superlative of thin. Anorexia is an illness. Like schizophrenia, it should not be used as a cheap and lazy metaphor. Anyone who thinks of using a phrase such as “positively anorexic” should think again"
Ansaphone,TM; use answering machine or answerphone
antenatal,
antenna,(insect) plural antennae; (radio) plural antennas
anti-ballistic missile treaty,
antichrist,
anticipate,"Purists say this should not be used to mean expect, but expressions like “they did not anticipate any trouble” are now normal usage"
anticlimax,
antidepressants,
antidisestablishmentarianism,position adopted by those opposed to the disestablishment of the Church of England.Not a good headline word
antihero,
antimalarial,
"antipodean, antipodes",terms Australians themselves rarely use; avoid
"antisemitic, antisemitism",no hyphen: it does not mean “anti-Semitic”
antislavery,
antisocial,
anti-vaxxer,a person who is opposed to vaccinations
anti-war,
any more,Please do not say “anymore” any more
"ap Iorwerth, Rhun","leader of Plaid Cymru. Lowercase a, whether you include his first name or not. So: “Speaking in Cardiff, ap Iorwerth said …”"
apex,plural apexes
apostrofly,"“an insect that lands at random on the printed page, depositing an apostrophe wherever it lands” according to the Guardian’s former readers’ editor"
apostrophes,"used to indicate a missing letter or letters (can’t, we’d) or a possessive (David’s book).Don’t let anyone tell you that apostrophes don’t matter and we would be better off without them. Consider these four phrases, each of which means something different: my sister’s friend’s books (refers to one sister and her friend). my sister’s friends’ books (one sister with lots of friends). my sisters’ friend’s books (more than one sister, and their friend). my sisters’ friends’ books (more than one sister, and their friends).The possessive in words and names ending in S normally takes an apostrophe followed by a second S (Jones’s, James’s), but be guided by pronunciation and use the plural apostrophe where it helps: Mephistopheles’, Waters’, Hedges’ rather than Mephistopheles’s, Waters’s, Hedges’s.Plural nouns that do not end in S take an apostrophe and S in the possessive: children’s games, old folk’s home, people’s republic, etc.Phrases such as butcher’s knife, collector’s item, cow’s milk, goat’s cheese, pig’s blood, hangman’s noose, writer’s cramp, etc are treated as singular.Use apostrophes in phrases such as two days’ time, 12 years’ imprisonment and six weeks’ holiday, where the time period (two days) modifies a noun (time), but not in nine months pregnant or three weeks old, where the time period is adverbial (modifying an adjective such as pregnant or old) – if in doubt, test with a singular such as one day’s time, one month pregnant.Proper names that contain an apostrophe stay the same in the possessive: McDonald’s burgers may be delicious but Sainsbury’s are just as good.Some shops use an apostrophe, wrongly, to indicate a plural (“pea’s”), but will generally omit the apostrophe when one is actually required (“new seasons asparagus”), a phenomenon sometimes referred to as the greengrocer’s (or grocer’s) apostrophe. Try to avoid this"
app,"an application for, typically, a mobile phone"
appal,"but as the former Prince of Wales might have said, it really is appalling"
apparatchik,
appeal,"In British English you appeal against a decision, verdict, etc, you do not “appeal the verdict”. After we reported on 9 June 2010 that a convicted murderer “successfully appealed the sentence”, a despairing reader wrote: “This usage seems to be occurring more and more, sometimes even in headlines. Do Guardian journalists not read the style guide?” Not all of them, evidently"
appendix,plural appendices
Apple,no longer Apple Computer
apples,"lc: cox’s orange pippin, golden delicious, granny smith, etc"
appraise,to evaluate
apprise,to inform
April Fools’ Day,"also known, less commonly nowadays, as All Fools’ Day; an individual prank, or the victim of one, is an April fool, so you might say “one of the greatest April fools was the Guardian’s  San Serriffe issue of 1977  – it made April fools of all who were taken in”"
apropos,"Used most commonly to mean “with regard to”, it does not need a preposition, so “apropos your question ... “ But note the idiomatic “apropos of nothing ...” which means something like “changing the subject” or “incidentally”.Used to mean “pertinent” or “relevant to”, now rather rare, you might say “the thought was apropos to this” or, even more quaintly, “the point was apropos”.The French idiom “à propos de bottes” (“with regard to boots”), meaning without rhyme or reason, was used by, among others, George Orwell"
aquarium,plural aquariums
Arab,"Both a noun and an adjective, and the preferred adjective when referring to Arab things in general, eg Arab history, Arab traditions. Arabic usually refers to the language and literature: “the Arabic press” means newspapers written in Arabic, while “the Arab press” would include newspapers produced by Arabs in other languages.There is no simple definition of an Arab. At an international level, the 22 members of the Arab League can safely be described as Arab countries: Algeria, Bahrain, Comoros, Djibouti, Egypt, Iraq, Jordan, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Palestine, Qatar, Saudi Arabia, Somalia, Sudan, Syria, Tunisia, United Arab Emirates, and Yemen. At a human level, there are substantial groups within those countries – the Berbers of north Africa and the Kurds, for example – who do not regard themselves as Arabs."
Arabic names,"Though Arabic has only three vowels – a, i and u – it has several consonants that have no equivalent in the Roman alphabet. For instance, there are two kinds of s, d and t. There are also two glottal sounds. This means there are dozens of ways of writing the former Libyan leader Muammar Gaddafi’s name in English, and a reasonable argument can be made for adopting almost any of them. With no standard approach to transliteration agreed by the western media, we must try to balance consistency, comprehensibility and familiarity – which often puts a strain on all three.Typically, Arabs have at least three names. In some cases the first or second name may be the one that is most used, and this does not imply familiarity (Arabs often address foreigners politely as “Mr John” or “Dr David”). Often Arabs also havefamiliar names that have no connection with the names on their identity cards: a man might become known after the birth of his first son as “Abu Ahmad”, and a woman as “Umm Ahmad”, the father or mother of Ahmad (eg the Palestinian leader Ahmed Qureia is commonly known as Abu Ala).Where a particular spelling has become widely accepted through usage we should retain it. Where an individual with links to the west has clearly adopted a particular spelling of his or her own name, we should respect that. For breaking news and stories using names for which we have no established style, we take the lead given by Reuters wire copy.Note also that names in some parts of the Arab world have become gallicised, while others have become anglicised, eg the leading Egyptian film director Youssef Chahine uses a French spelling instead of the English transliteration, Shaheen.Some guidelines (for use particularly where there is no established transliteration)"
al-,"Means “the”. In names it is not capitalised, eg Ahmad al-Saqqaf, and can be dropped after the first mention (Mr Saqqaf). For placenames we drop it altogether. Sometimes it appears as as- or ash- or ad- or ul-: these should be ignored and can be safely rewritten as al-. But some Arabs, including Syrians and Egyptians, prefer to use el- in place of al-. Exceptions: by convention, Allah (al-Lah, literally “the God”) is written as one word and capitalised; and in Saudi royal names, Al Saud is correct (in this case, “al” is actually “aal” and does not mean “the”)."
"abdul, abu and bin","These are not self-contained names, but are connected to the name that follows: abdul means “slave of … “ and so cannot correctly be used on its own. There are standard combinations, “slave of the merciful one”, “slave of the generous one”, etc, which all indicate that the person is a servant of God. In transliteration, “abd” (slave) is lowercase, eg Ahmad abd al-Rahman al-Saqqaf, except when used at the start of a name; abu (father of) and bin (son of) are similar. When they appear in the middle of a name they should be lower case and are used in combination with the following part of the name: Faisal abu Ahmad al-Saqqaf, Faisal bin Ahmad al-Saqqaf. Despite the above, some people are actually known as “Abdul”. This is more common among non-Arab Muslims. And some Arabs run “abd” or “abu” into the following word, eg the writer Abdelrahman Munif."
Muhammad,"Our style for the prophet’s name and for most Muhammads living in Arab countries, though where someone’s preferred spelling is known we respect it, eg Mohamed Al Fayed, Mohamed ElBaradei"
"Muhandis/Mohandes, Qadi","Be wary of names where the first word is Muhandis or Qadi: these are honorary titles, meaning engineer and judge respectively"
European surnames of Arabic origin,"The guidelines above do not apply in examples such as the French labour minister, Myriam El Khomri. She is French born and only has one surname, which appears on her birth certificate and passport, written in the Latin alphabet; there is no other spelling. So she should be referred to as Myriam El Khomri at first mention and El Khomri thereafter.Similarly, the two 2016 Brussels airport suicide bombers, Ibrahim and Khalid El Bakraoui, were Belgian born. The Belgian legal system and prosecutors refer to them by the surname El Bakraoui, and we should too"
Arab spring,
Aran Island,"is off Co Donegal and the Aran Islands off Co Galway in western Ireland; the Isle of Arran is the largest island in the Firth of Clyde in Scotland. Aran sweaters, whether Irish or Scottish, come with an initial cap A"
arcane,esoteric;  archaic  antiquated
archbishops,"It is not normally necessary to use their formal title, which for both Anglicans and Catholics is Most Rev: so Justin Welby, the archbishop of Canterbury, at first mention, thereafter Welby or the archbishop (except in leading articles, where he is Mr Welby); Vincent Nichols, the archbishop of Westminster, on first mention, subsequently Nichols or the archbishop"
archdeacon,"the Ven Paul Olive, archdeacon of Farringdon, at first mention; thereafter Olive, or the archdeacon"
archery,"arrows are shot, rather than fired; and if they hit the centre of the target, it is a gold rather than a bullseye"
archetype or stereotype?,"An archetype is a perfect or typical specimen, an original model or pattern, or prototype.A stereotype is based on simplistic generalisations about a particular group. So the matriarch in a typical Woody Allen film might be described as a stereotypical, not archetypal, Jewish mother"
archipelago,plural archipelagos
architect or designer?,"The title of architect is protected under UK law and should only be used to describesomeone who is registered as such. If someone works on building design but is not registered as an architect they are most likely to be called a designer, eg Thomas Heatherwick"
arch-rival,an arch rival would mean something different
arctic fox,but Arctic Monkeys
Ardoyne,"(Belfast), not “the Ardoyne”"
area of outstanding natural beauty (AONB),
"Argentina, Argentinian",
arguably,unarguably one of the most overused words in the language
argyle sweater,
Armageddon,
"armed forces, armed services","the army, the British army, the navy, but Royal Navy, Royal Air Force or RAF"
armed forces ranks,see  military ranks
Armistice Day,but the armistice
arms akimbo,"hands on hips, elbows out; it is surprising how often the phrase “legs akimbo” turns up in the paper, “suggesting that such a posture exists, but lacks a word to define it”, as David McKie wrote.The radical theatre group in the BBC TV comedy series The League of Gentlemen was called Legz Akimbo"
army regiments,for a detailed guide to the organisation of the British army see  here
around,"about or approximately are better, eg “about £1m” or “approximately 2,000 people”"
around or round?,We were driving around aimlessly all weekend; it nearly drove me round the bend
arranged marriages,"are a traditional and perfectly acceptable form of wedlock across southern Asia and within the Asian community in Britain; they should not be confused with forced marriages, which are arranged without the consent of one or both partners, and have been widely criticised"
arse,British English;  ass  American English
arsing about,rather than arseing
art and architectural movements,"are generally lowercase, eg art deco, art nouveau, cubism, dadaism, expressionism, gothic, impressionism, pop art, romanesque, surrealism, etc, but note Bauhaus, Modern (in the sense of Modern British, to distinguish it from “modern art”, pre- Raphaelite, Romantic (to differentiate between a romantic painting and a Romantic painting)"
artefact,
artificial intelligence,AI on second mention and in headlines. Be careful not to overuse. An AI system is one able to improve from previous experiences or one created through training and learning rather than human coding or simple algorithms
artist,"not artiste (except, possibly, in a historical context)"
Arts and Crafts movement,
"Arts Council England, Arts Council of Wales, Creative Scotland",
as ... as,"“The hawthorn may be as old, if not older, than the stone tower of the windmill,” which appeared in the paper, should have read: “The hawthorn may be as old as, if not older than, the stone tower of the windmill.”A common error that is quite easy to spot if you try to read it without the phrase inside the commas: as old ... than (wrong); as old ... as (right)"
as or since?,"“As” is causal: I cannot check the online style guide as the connection is down; “since” is temporal: Luckily, I have had the latest edition of Guardian Style on my desk since it was published"
asbo,antisocial behaviour order
"ascendancy, ascendant",
Asean,Association of Southeast (sic) Asian Nations
Ash,Action on Smoking and Health
"Ashton, Catherine","The former EU foreign minister (strictly “high representative of the union for foreign affairs and security policy”) is Catherine Ashton at first mention, Lady Ashton at second mention, and thereafter simply Ashton"
Ashura,"a day of voluntary fasting for Muslims; Shia Muslims also commemorate the martyrdom of Hussein, a grandson of the prophet, so for them it is not a festival but a day of mourning"
Asio,"Australian Security and Intelligence Service, the country’s domestic counter- intelligence and security agency (the equivalent of Britain’s MI5)"
Asperger syndrome,"but it is acceptable to call it Asperger’s for short. Some people dislike the name because of the association with Hans Asperger, or consider it outdated, so it is better to use the broader term “autistic” unless you know a person prefers to say they have Asperger’s, in which case you should respect that preference.Do not use such witticisms as “Asperger-ish men”, which had to be removed from our website"
aspirin,
