Bold Text,Description
HBOS,"Scientists use hazard to mean a potential for harm and risk to mean the actual probability of harm occurring; though headline writers may feel more at home with risk than hazard, the distinction is worth bearing in mind"
"HDTV, HD DVD",(not HBoS) created in 2001 by the merger of Halifax and Bank of Scotland
head-butt,
"headdress, headhunter, headroom",but  butt  should normally suffice
headed or heading?,but  head-on
headlines,The former is most commonly used as past tense (“we headed for the exit”) and the latter as present participle (“we are heading in the right direction”); try not to mix them up – “we are headed in the right direction” sounds inelegant at best
headquarters,"What makes a great, or at least memorable, headline? They can be historic (“Manwalks on Moon”), campaigning (“He lied and lied and lied”), classical (“Between Cilla and Charybdis”), subtle (“Flo quiets the Dons”), funny (“Super Caley go ballistic – Celtic are atrocious”), notorious (“Gotcha!”), scurrilous (“Zip me up before you go-go”), or downright absurd (“Freddie Starr ate my hamster”). There is no magic formula but here are a few guidelines.Use active verbs where possible, particularly in news headlines: “Editor updates style guidelines” is much better than “Style guidelines updated”.Avoid tabloid cliches such as bid, brand, dub and slam, and their broadsheet counterparts such as insist, signal and target. Imagining that you are describing an event, in words, to real people, is a good antidote to journalese: no one in a pub says “Did you see that Brown slammed Blair in a dramatic power bid?”Just as we would in copy, we need to take care with words such as debacle, farce and fiasco, especially when combined, which we contrived to do in the headline “Hips fiasco descends into farce”– the fact that “Hips farce descends into fiasco” would work just as well tells you something is probably wrong here.Strive to be fresh: tired plays on the phrase “Mind the gap”, heard only occasionally these days by passengers on the London underground, have become tedious, as well as either baffling or infuriating to readers who do not happen to live in the capital.Take care over ambiguity: “Landmine claims dog UK arms firm”, which appeared in the paper, contains so many successive nouns, some of which may or may not be verbs, that you have to read it several times to work out what it means.Exclamation marks – look, I’ve written something funny! – should never be used. Question marks are also to be avoided, as are quotation marks, unless essential to signify a quote or for legal reasons. And we should resist the temptation to save space by replacing “and” with a comma: “Blair and Brown agree euro deal” not “Blair, Brown agree euro deal”.Puns are fine – “Where there’s muck there’s bras”, about a farmer’s wife who started a lingerie business from a barn, was voted headline of the year by our staff – but do not overuse, or resort to tired puns such as “flushed with success” (this story has got a plumber in it). It is possible to try just a little too hard (“To baldly grow where no mane’s grown before”). In the 1970s and 80s the Guardian suffered from a reputation for excruciating puns; today, we want to be known for clever, original and witty headlines.Unexpected twists, or subtle plays on words and phrases, show the subeditor’s craft at its best: a power failure in a theatre became, in the Guardian, “Bad lights stop play”. A light touch can work beautifully: “Drop dead, gorgeous”, on a story about office jealousy, added one comma to a well-known film title to create the perfect headline. When Tate Modern exhibited a giant sun, to create its own indoor climate, the beautiful headline written by the Guardian’s Steve Chamberlain – “But is itweather?” (a rare example of a question mark being required) – deserved to be framed and exhibited in a gallery in its own right.Be careful when making references to popular culture: “Mrs Culpepper’s lonely hearts club banned” works, because most people are familiar with the Beatles’ Sgt Pepper album, but allusions to your favourite obscure prog-rock LP are likely to pass over most readers’ heads. Long after most people had forgotten the 1960s movie Charlie Bubbles, tabloid sports subeditors continued to mystify their readers by using the headline “Charlie bubbles” whenever anyone called Charlie scored a goal. “Book lack in Ongar”, about a shortage of resources in Essex libraries, remains one of the all-time great headlines, but it only works if you get the reference to John Osborne’s 1956 play Look Back in Anger (or at least it did until Oasis helpfully recorded a song called Don’t Look Back in Anger).It’s time for some formulaic headlines to be given a decent burial, or at least a long rest. “The kids are alright” (based on a song by the Who, and subsequently a film) crops up, with minor variations, on a weekly and sometimes daily basis in British newspapers: “The kids are alright online”, “The kids are all right (and left)”, “The kids are all right, left and centre”, and so on.Even more ubiquitous are “Size isn’t everything” and its close relative “Size doesn’t matter”, used to refer to a car (in two different newspapers), school uniforms, the actor Simon Callow’s height, a hotel in Turkey, new houses, national economies, motorbikes, a footballer, the gallery following a golf tournament, and – once – penis size.The ever-popular “Brighton rocks” and its variations are an allusion, still common, to the Graham Greene novel and subsequent film, both more than 50 years old. How many people still understand the reference? “So lucky, lucky, lucky”, a recent headline we used above a photograph of Kylie Minogue, quoted lyrics from a hit she had in nearly 20 years ago. How many of our readers would be aware of this? You have to use your judgment.If you are quoting, be sure to get it right. “Talkin’ about their generation”, from a classic 1960s song by the Who, fails as a headline because it literally lacks rhythm (it should be “Talkin’ ‘bout”). We claimed that Millwall fans sing “No one likes us and we don’t care”; they don’t sing that, and the mistake made it look as if we don’t care.As always, the most important thing is to think of the readers and remember that we are writing headlines for their benefit, not for our own amusement or to show how clever we are."
headteacher,"can be used as a singular (“a large headquarters”) or plural (“our headquarters are in London”); HQ, however, takes the singular"
Health and Safety Executive,"one word, not headmaster, headmistress; but National Association of Head Teachers"
healthcare,HSE on second mention
"hear, hear",
heart attack,"exclamation of approval that we have misspelt as “here, here” on more than one occasion"
"heartbroken, heartfelt, heartsearching, heartwarming","when blood flow to the heart is blocked, as opposed to a cardiac arrest, when the heart stops beating unexpectedly"
Heart of Midlothian,"but heart-rending, heart-throb"
Heathrow airport,Edinburgh football club commonly known as Hearts; said to be named after a dancehall that in turn took its name from Sir Walter Scott’s 1818 novel The Heart of Midlothian
heatstroke,or simply Heathrow; not “London’s Heathrow”
heatwave,
heave,
heaven,"There is confusion about the past tense, which is heaved in the senses of “she heaved a sigh of relief as he heaved the knife away” but hove in a nautical context, literally or metaphorically (they hove into view, hove up the anchor and hove alongside). In all the above cases, the present tense is heave or heaves, so it would be “they heave into view”"
hectares,
height,"should be converted to acres in brackets at first mention by multiplying by 2.47, so 10 hectares is 24.7 acres; to convert acres to hectares, multiply by 0.4, so 10 acres is 4 hectares (we get this the wrong way round embarrassingly often)"
heir apparent,"in metres with imperial conversion, eg 1.68 metres (5ft 7in)"
"hell, hades",someone certain to inherit from a deceased unless he or she dies first or is taken out of the will; don’t use to mean likely successor
hello,
Hells Angels,"not hallo (and certainly not “hullo”, unless quoting the Rev ARP Blair)"
helm,no apostrophe
help,a noun; “helmed” should not be used as an alternative to “directed”
"help to buy, right to buy, buy to let","help to decide or help decide, not “help and decide”"
helpline,"no initial caps; hyphenate before a noun, eg help-to-buy programme, right-to-buy scheme, buy-to-let mortgages"
hemisphere,
herculean,"northern hemisphere, southern hemisphere"
here,
Hergé,generally avoid if what you mean is in Britain (your readers might not be)
Heritage Lottery Fund,"pen name of Georges Remi (1907-83), Belgian creator of Tintin"
hermaphrodite,now called the  National Lottery Heritage Fund
Hermès,is a term used in biology to describe an animal that can reproduce in either a male or female manner. The appropriate term for a person of undetermined sex is intersex
"hero, heroine",scarves and shawls;  Hermes Group  stocks and shares
heterogeneous,either form is acceptable to refer to females
Hewlett-Packard,"composed of unrelated elements, the opposite of homogeneous;  heterogenous (biology) originating outside the body; the latter is often misused for the former"
Hezbollah,or HP
Hibernian,means “party of God”
hiccup,Edinburgh football club commonly known as Hibs
Hi-de-Hi!,not hiccough
hi-fi,1980s sitcom set in a holiday camp
highchair,short for high fidelity; how we listened to music in the days before iPods
high commissioner,
high court,sent from one Commonwealth country to another (rather than an ambassador)
highfalutin,
high flyer,
highland fling,noun;  high-flying  adjective
the Highlands,
high net worth individual,of Scotland
Higgs boson,"classification used by the financial services industry. The figure differs by institution and region, but the most commonly quoted is $1m in liquid financial assets (below that you are merely “affluent”). More than $50m in wealth classifies someone as “ultra high net worth”.Unless specifically referring to such a classification, terms such as “rich person” or “wealthy people” should suffice"
high street,
high-water mark,lc in retail spending stories: “the recession is making an impact in the high street”; capped only in proper name: “I went shopping in Godalming High Street”
Hiit,
hijab,high-intensity interval training
hijack,covering for the head and face worn by some Muslim women
hike,"of movable objects only, not of schools, embassies, etc"
Hindi,"If using metaphorically, take care: the headline “Motorists face new petrol hike” evoked a long walk to a garage"
Hips,language;  Hindu  religion
hip-hop,"home information packs, scrapped by the new government in 2010"
hippopotamus,
hippy,plural hippopotamuses not hippopotami
"Hirst, Damien",plural hippies
His Master’s Voice,
Hispanic,TM (picture of Nipper the dog with gramophone)
historic or historical?,Refers to someone from a country where the primary language is Spanish
Historic England,"A historic event is notable, a historical event simply something that happened in the past. So someone might be accused of historical crimes that happened years earlier.However, avoid using the term historical to describe sexual abuse crimes from the past. Survivors, particularly adults who were abused as children, feel the term undermines the long-lasting impact of the crimes. Try to date the crimes (year, decade etc) instead, or say they happened in the past eg “Detectives are investigating allegations of child sexual abuse from more than 30 years ago.” Exceptions may be necessary in court cases where specific wording is required.Note that it’s “a” not “an”, unless directly quoting: “an historic” is considered old- fashioned, and in modern English “a historic”, “a hotel” and so on sound more natural. Before silent H, the opposite applies: an heir, an honest man, etc"
HIT Entertainment,"Government service, formerly part of English Heritage, dealing with listing, planning, grants and heritage research and advice"
"hitchhiker, hitchhiking",
"hi-tech, hi-vis",no hyphens
"hitlist, hitman",
HIV,
HM,"a virus, not a disease, but do not call HIV “the Aids virus” or an HIV test an “Aids test”; an HIV-positive man (hyphen) is HIV positive (no hyphen)"
HMS,"or his majesty for the king, not HRH"
hoard or horde?,"stands for his majesty’s ship: does not need the definite article, so it is “HMS Pinafore” rather than “the HMS Pinafore”"
hobnob,a hoard of treasure; a horde (or hordes) of tourists. Often confused
Hobson’s choice,as in “she likes to hobnob with the rich and powerful”;  Hobnobs  biscuits
Ho Chi Minh City,a “choice” between taking what is offered and nothing at all
hockey mom,formerly Saigon
hoi polloi,"We “translated” this to describe Sarah Palin as a “hockey mum”, which sounds daft"
holidaymaker,"common people, the masses; “the hoi polloi” is acceptable, even for speakers of ancient Greek"
Holland,
Holocaust,should not be used to mean the Netherlands (of which it is a region)
"holy communion, holy grail","Do not trivialise by comparing piles of cattle during a foot-and-mouth outbreak to the Holocaust, or through phrases such as “Belsen-skinny” which, incredibly, found its way into one of our stories about Kate Winslet"
Holyrood,"but  Holy Land, Holy See, Holy Week"
Holyroodhouse,"home of Scotland’s parliament, in Edinburgh. Not necessarily a synonym for the Scottish government, which is run by the largest party or coalition in Holyrood"
Hollywood,the king’s official residence in Scotland
homage,California;  Holywood  County Down
"homebuyers, homeowners","a homage, not “an homage”; pay homage to.hommage  is a French word"
home care,but first home buyers and home ownership
home counties,but homecare workers
home in on,
homeland,not hone in on
homemade,but  home town
Home Office,
homeopathy,but  home secretary  (although the official title is “Secretary of State for the Home Department”)
homepage,
home schooling,
home working,
homogeneous or homogenous?,
“homosexual rape”,"The latter, a biological term meaning having common descent, is often misused for the former, which means of the same kind, uniform"
honeybee,is rape (or male rape if necessary)
Hongkongers,
Hong Kong names,one word
hon members,"like Taiwanese and Korean names, Hong Kong names are written in two parts with a hyphen, eg Tung Chee-hwa (Tung after first mention)"
honorarium,of parliament
honorary knights,plural  honorariums
honorifics,"are not given titles, so it is still plain Geldof rather than Sir Bob"
honour,"Use just surname after first mention, except in leader columns.So: Boris Johnson at first mention, thereafter Johnson; Harriet Harman at first mention, subsequently Harman; Sir Richard Branson at first mention, thereafter Branson; Sayeeda Warsi at first mention, then Lady Warsi, and subsequently Warsi (see entry on peers); Prof John Wells at first mention, thereafter Wells; Dr Bill Bailey (there are some exceptions, see entry on Drs) at first mention, subsequently Bailey; the Rev George Herbert at first mention, thereafter Herbert, etc.As always, use common sense: in a story where two people have the same name (eg a court case about a husband and wife or brothers), it may be necessary to use Mr and Mrs or Ms, or forenames.Follow traditional Guardian style in leading articles (but not other comment pieces and columns on leader pages): use honorifics after first mention, unless writing about an artist, author, journalist, musician, sportsperson, criminal or dead person; use Ms for women on second mention unless they have expressed a preference for Miss or Mrs.So: at first mention David Cameron, Harriet Harman, Sir Richard Branson, Lady Warsi, Prof John Wells, Dr Bill Bailey, the Rev George Herbert; thereafter Mr Cameron, Ms Harman, Sir Richard, Lady Warsi, Prof Wells, Dr Bailey, Mr Herbert, etc.Under-18s should normally be referred to by their first names"
“honour” killings,"When Hamlet says that a custom is more honoured in the breach than the observance, he means that it is more honourable to break than to keep it; the phrase is often misused to mean a rule that is more often broken than observed"
HONY,always in quotes; as a reader says: “There is no honour involved in these murders and calling them honour killings belittles the victims and plays down the crime”
hoodie,Humans of New York website
Hoover,"a hooded top, as well as someone who wears one"
Hope Not Hate,TM; say  vacuum cleaner  unless you are sure it is a Hoover (uc); but lc for figurative hoovering up  (eg “the Guardian website hoovered up all the awards”)
hopefully,
horrendous,"Like many other adverbs, such as frankly, happily, honestly and sadly, hopefully can be used as a “sentence adverb” indicating the writer’s view of events – “hopefully, we will reach the summit” – or as a “manner adverb” modifying a verb – “we set off hopefully for the summit”. Why some people are upset by “hopefully we will win” and not “sadly we lost” is a mystery"
horticulturist,"sounds like a rather ugly combination of horrific and tremendous, but is in fact from the Latin for fearful; horrific is generally preferable"
hospitalised,not horticulturalist
hospitals,now accepted in British English but best used as a noun – hospital – not a verb; say someone was taken (never “rushed”) to hospital
hospital trusts,"lc for the generic part, eg Derby district general hospital, Great Ormond Street children’s hospital, Royal London hospital, Royal Free hospital, but uc for infirmary eg Bristol Royal Infirmary"
hostelling,"As with hospitals, lc for everything that is generic: hospital, hospitals, healthcare, partnership, etc, plus foundation (which can normally be omitted) and trust.A few examples: Papworth hospital Papworth hospital NHS foundation trust (if you want to give the full name), Papworth hospital NHS trust (normal style on first mention), the trust (subsequent mentions). Blackpool teaching hospitals NHS trust Colchester hospital university NHS trust North Essex partnership university NHS trustSheffield children’s NHS trust South Devon healthcare NHS trust"
Hostomel,two Ls
"hotdog, hotpot",not Gostomel for the town in Ukraine known for its airport
hotels,
hot flush,"a hotel not “an”; do not cap up “hotel”: the Dorchester, the Ritz, the Grand hotel, Brighton, etc (but don’t be silly and lowercase Hotel California)"
"hotline, hotspot",a  hot flash  in American English
hot-water bottle,
"houseboat, housebreaker, housebuyer, householder, housekeeper",
housebuilding,
"househusband, housewife",
House Un-American Activities Committee (Huac),should be used with care; avoid sexist stereotyping such as lower food prices being “good news for housewives” (it’s good news for shoppers)
hove,"anti-communist investigating body of the House of Representatives, often associated with “McCarthyism”, although Joseph McCarthy was in fact head of the Senate permanent subcommittee on investigations"
hoverboard,"past tense and past participle of heave used in a nautical context, literally or metaphorically (they hove into view, hove up the anchor and hove alongside); so do not write, for example, “Woods and Mickelson had only to hove into view” (should be heave) or “Sweeney Todd now hoves into view” (should be heaves).In other contexts, use heaved: she heaved a sigh of relief as he heaved the weapon away"
hovercraft,"also known as a self-­balancing scooter, e-board or swegway.Note that swegway is a lowercase generic term, while some of the many brands of board include SwegWay, Swagway, iSwegway etc"
Howards End,
Hubble space telescope,by EM Forster: no apostrophe;  Howards’ Way  (vintage BBC TV series) had one
Hudson Bay,
Human Genome Project,but Hudson’s Bay Company
"humanity, humankind, human-made",
humerus,"avoid man, mankind, man-made See gender issues"
hummus,"bone;  humorous  funny The “funny bone” is the ulnar nerve, which like the humerus is in your arm. Hence the not very humorous old joke: “Getting hit in the funny bone is not humerus”"
"humour, humorist, humorous",you eat it;  humus  you put it on the garden
hundred years war,
hunky dory,
Huntington’s disease,
huntsman,formerly known as Huntington’s chorea
"Hurricane Alex, Hurricane Barney","a paid servant of the hunt, rather than a hunter or hunt follower"
Hutchison Telecommunications International,etc
hydroelectric,"(not Hutchinson) part of Hutchison Whampoa; Hutchison Essar in India, known as Hutch"
hyperbole,
hyperthermia,"what used to be known in newspapers as “flamming up” a story – which, on the whole, we aim to avoid See sexing up"
hyphens,hot;  hypothermia  cold
